TABLE_NAME,COLUMN_NAME,DATA_TYPE
AspNetRoles,Id,uniqueidentifier
AspNetRoles,Name,nvarchar
AspNetRoles,NormalizedName,nvarchar
AspNetRoles,ConcurrencyStamp,nvarchar
AspNetUserRoles,UserId,uniqueidentifier
AspNetUserRoles,RoleId,uniqueidentifier
AspNetUsers,Id,uniqueidentifier
AspNetUsers,UserName,nvarchar
AspNetUsers,NormalizedUserName,nvarchar
AspNetUsers,Email,nvarchar
AspNetUsers,NormalizedEmail,nvarchar
AspNetUsers,EmailConfirmed,bit
AspNetUsers,PasswordHash,nvarchar
AspNetUsers,SecurityStamp,nvarchar
AspNetUsers,ConcurrencyStamp,nvarchar
AspNetUsers,PhoneNumber,nvarchar
AspNetUsers,PhoneNumberConfirmed,bit
AspNetUsers,TwoFactorEnabled,bit
AspNetUsers,LockoutEnd,datetimeoffset
AspNetUsers,LockoutEnabled,bit
AspNetUsers,AccessFailedCount,int
