show_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
s1,s4878,s1067,s7507,s5048,s5234,s5495,s2675,s4242,s2761,s6328,s1732,s2430,s2381,s7366,s6387,s1947,s5798,s4156,s4087,s8701
s2,s5345,s1885,s4286,s4272,s4210,s614,s109,s6290,s1906,s5486,s6714,s6258,s4488,s6830,s7639,s6053,s4384,s2002,s8800,s8783
s3,s425,s5114,s6593,s5306,s3452,s712,s1906,s4032,s3977,s7464,s8570,s3298,s2088,s6210,s2550,s1350,s3553,s8018,s3843,s3024
s4,s2133,s8465,s4710,s8467,s1392,s1466,s7475,s2346,s3838,s617,s7868,s6361,s8756,s8250,s3238,s1292,s2395,s5306,s8013,s3364
s5,s2273,s267,s2092,s4077,s806,s2691,s8233,s8613,s2363,s8147,s88,s3462,s8493,s1445,s2083,s3131,s5832,s4921,s6231,s3490
s6,s7258,s1907,s3075,s2972,s4269,s7026,s2027,s8248,s2324,s3353,s5839,s7932,s6760,s2888,s919,s6390,s8263,s8324,s4178,s7431
s7,s5238,s4365,s4589,s1779,s7111,s526,s556,s5486,s7530,s235,s6642,s2315,s3959,s3067,s8532,s2176,s4304,s2602,s6467,s2725
s8,s8354,s5581,s5654,s3620,s2825,s4057,s5045,s7701,s7905,s8065,s5014,s1984,s1224,s7977,s6869,s3095,s4557,s2942,s393,s7550
s9,s4462,s1523,s3378,s1441,s4090,s4605,s734,s6458,s2828,s3379,s4377,s8580,s5263,s8194,s7908,s1755,s1520,s2564,s1477,s8244
s10,s7534,s2515,s1900,s3855,s3123,s1558,s2503,s6689,s4721,s2124,s2666,s4865,s7828,s3906,s816,s965,s3281,s7842,s6498,s7381
s11,s7203,s3905,s3788,s4500,s167,s2112,s8232,s5297,s2330,s2210,s209,s1783,s7086,s7659,s4663,s1168,s954,s1992,s7329,s3856
s12,s4714,s1340,s6968,s3866,s3870,s3305,s7831,s6712,s7320,s4744,s6089,s7647,s8030,s5989,s5297,s5350,s3676,s1708,s3460,s2182
