index,show_id,If you watched,Rec. 1 show_id,Rec. 2 show_id,Rec. 3 show_id,Rec. 4 show_id,Rec. 5 show_id
0,s1004,Zero,s5883,s1659,s3256,s4909,s1004
1,s1005,Izzy's Koala World,s1005,s7589,s3570,s5592,s6839
2,s1006,Keymon and Nani in Space Adventure,s2208,s3910,s5134,s2186,s5116
3,s1007,Motu Patlu Dino Invasion,s7165,s6092,s5108,s5341,s8249
4,s1018,Dhobi Ghat (Mumbai Diaries),s6111,s193,s2646,s694,s1087
5,s1028,Crimson Peak,s6947,s2176,s1715,s8385,s6209
6,s1037,Time Trap,s4937,s3955,s8221,s6635,s2391
7,s1040,Dark City Beneath the Beat,s6607,s1040,s7713,s5267,s8658
8,s1041,Durarara!!,s1636,s6110,s4377,s225,s2525
9,s1060,House of Cards,s821,s3764,s3582,s8084,s5471
10,s1061,Indian Matchmaking,s1921,s2003,s4776,s2515,s1147
11,s1063,Law School,s3847,s2363,s1063,s7954,s167
12,s1068,The Underclass,s359,s3121,s237,s1416,s5678
13,s1073,Motu Patlu in the City of Gold,s1073,s2008,s6933,s5597,s2062
14,s1078,Shiva: Journey to Plunotaria,s4016,s6819,s8155,s7418,s1636
15,s1079,Shiva: The Secret World Of Vedas City,s169,s3162,s2072,s1079,s3395
16,s1080,The Baker and the Beauty,s5857,s8022,s1146,s934,s5160
17,s1081,New Gods: Nezha Reborn,s1081,s1109,s4032,s4225,s8763
18,s1083,Don't be the First one,s1697,s7522,s12,s2125,s5666
19,s1085,Heaven Official's Blessing,s4045,s1085,s2827,s288,s7929
20,s1087,Ojukokoro: Greed,s6111,s193,s2646,s694,s1087
21,s1096,This Is a Robbery: The World's Biggest Art Heist,s1731,s1449,s3879,s7082,s267
22,s11,Vendetta: Truth Lies and The Mafia,s6150,s11,s2355,s1950,s5619
23,s1102,Escape from Planet Earth,s884,s8669,s206,s4321,s5245
24,s1109,Irul,s1081,s1109,s4032,s4225,s8763
25,s1114,2012,s1840,s4853,s4692,s1114,s4272
26,s1115,3 Idiots,s7500,s6958,s2285,s3814,s6386
27,s1119,Insidious,s4192,s3931,s5303,s5995,s397
28,s1128,Prank Encounters,s8568,s5137,s8627,s5383,s8139
29,s1134,Sniper: Ghost Shooter,s811,s393,s1256,s7291,s8698
30,s1138,The Knight and the Princess,s3760,s3643,s7105,s1949,s4323
31,s1144,Worn Stories,s7711,s2569,s3243,s1144,s8369
